Algorithm: SSSP
Source: 0

Vertex Distance
0 0
1 19
2 31
3 33
4 36
5 48
6 43
7 46
8 60
9 73
10 80
11 72
12 52
13 63
14 57
15 45
16 48
17 47
18 34
19 41
20 40
21 33
22 30
23 15
24 30
25 33
26 32
27 44
28 59
29 49
30 45
31 37
32 35
33 44
34 55
35 56
36 58
37 52
38 56
39 58
40 61
41 62
42 51
43 51
44 53
45 62
46 61
47 59
48 51
49 50
50 51
51 49
52 55
53 71
54 51
55 41
56 47
57 52
58 43
59 48
60 51
61 51
62 61
63 62
64 52
65 53
66 38
67 33
68 37
69 38
70 42
71 55
72 52
73 55
74 63
75 54
76 46
77 45
78 47
79 40
80 55
81 46
82 35
83 49
84 55
85 39
86 40
87 41
88 36
89 48
90 44
91 42
92 55
93 55
94 63
95 55
96 43
97 53
98 47
99 37

Execution Time: 0 ms
